instance160.gr: cost: 1572505162.00, avg_time: 47.87 ms, avg-memory: 21574.08 KB, runs: 888
instance161.gr: cost: 682514387.00, avg_time: 85.47 ms, avg-memory: 36550.31 KB, runs: 484
instance162.gr: cost: 1114613855.00, avg_time: 26.87 ms, avg-memory: 12974.59 KB, runs: 1000
instance163.gr: cost: 133446165.00, avg_time: 122.30 ms, avg-memory: 56902.54 KB, runs: 371
instance164.gr: cost: 892384608.00, avg_time: 37.43 ms, avg-memory: 17227.69 KB, runs: 1000
instance165.gr: cost: 97063912.00, avg_time: 99.23 ms, avg-memory: 43839.94 KB, runs: 423
instance166.gr: cost: 411938.00, avg_time: 13.85 ms, avg-memory: 5195.68 KB, runs: 1000
instance167.gr: cost: 4095.00, avg_time: 12.72 ms, avg-memory: 5068.51 KB, runs: 1000
instance168.gr: cost: 110806757.00, avg_time: 119.93 ms, avg-memory: 54216.81 KB, runs: 387
instance169.gr: cost: 1140740322.00, avg_time: 83.30 ms, avg-memory: 35139.98 KB, runs: 532
instance170.gr: cost: 1368427178.00, avg_time: 62.86 ms, avg-memory: 26952.47 KB, runs: 633
instance171.gr: cost: 1013138993.00, avg_time: 65.63 ms, avg-memory: 27975.35 KB, runs: 601
instance172.gr: cost: 682743473.00, avg_time: 38.70 ms, avg-memory: 17607.58 KB, runs: 1000
instance173.gr: cost: 933220764.00, avg_time: 53.44 ms, avg-memory: 23748.38 KB, runs: 827
instance174.gr: cost: 215158.00, avg_time: 35.53 ms, avg-memory: 18886.77 KB, runs: 1000
instance175.gr: cost: 869357160.00, avg_time: 57.74 ms, avg-memory: 25419.20 KB, runs: 719
instance176.gr: cost: 1318421637.00, avg_time: 51.73 ms, avg-memory: 22857.92 KB, runs: 769
instance177.gr: cost: 1094366470.00, avg_time: 68.72 ms, avg-memory: 29504.35 KB, runs: 620
instance178.gr: cost: 185765280.00, avg_time: 163.62 ms, avg-memory: 70850.20 KB, runs: 275
instance179.gr: cost: 1190026671.00, avg_time: 80.29 ms, avg-memory: 34502.32 KB, runs: 568
instance180.gr: cost: 1048966686.00, avg_time: 66.41 ms, avg-memory: 28865.11 KB, runs: 682
