instance188.gr: cost: 6801852.00, avg_time: 11.24 ms, avg-memory: 3552.12 KB, runs: 1000
instance189.gr: cost: 3000591.00, avg_time: 6.29 ms, avg-memory: 3302.11 KB, runs: 1000
instance190.gr: cost: 3900467.00, avg_time: 8.13 ms, avg-memory: 3430.06 KB, runs: 1000
instance191.gr: cost: 58952.00, avg_time: 656.73 ms, avg-memory: 5476.05 KB, runs: 76
instance192.gr: cost: 4000879.00, avg_time: 6.94 ms, avg-memory: 3299.58 KB, runs: 1000
instance193.gr: cost: 958.00, avg_time: 8.19 ms, avg-memory: 3938.30 KB, runs: 1000
instance194.gr: cost: 3800700.00, avg_time: 7.28 ms, avg-memory: 3301.88 KB, runs: 1000
instance195.gr: cost: 1290.00, avg_time: 9.69 ms, avg-memory: 3939.53 KB, runs: 1000
instance196.gr: cost: 1036.00, avg_time: 8.69 ms, avg-memory: 4071.02 KB, runs: 1000
instance197.gr: cost: 122652.00, avg_time: 172.54 ms, avg-memory: 5962.86 KB, runs: 277
instance198.gr: cost: 743038055.00, avg_time: 42837.46 ms, avg-memory: 15892.00 KB, runs: 1
instance199.gr: cost: 3700531.00, avg_time: 9.07 ms, avg-memory: 3560.71 KB, runs: 1000
instance200.gr: cost: 3400697.00, avg_time: 9.59 ms, avg-memory: 3685.59 KB, runs: 1000
