instance131.gr: cost: 644.00, avg_time: 19.70 ms, avg-memory: 3683.49 KB, runs: 1000
instance132.gr: cost: 7401155.00, avg_time: 19.07 ms, avg-memory: 3794.17 KB, runs: 1000
instance133.gr: cost: 13501752.00, avg_time: 19.36 ms, avg-memory: 3919.93 KB, runs: 1000
instance134.gr: cost: 172962597.00, avg_time: 33.64 ms, avg-memory: 9252.62 KB, runs: 1000
instance135.gr: cost: 240330389.00, avg_time: 89.91 ms, avg-memory: 27034.62 KB, runs: 557
instance136.gr: cost: 244824318.00, avg_time: 90.80 ms, avg-memory: 27064.01 KB, runs: 545
instance137.gr: cost: 242074563.00, avg_time: 94.47 ms, avg-memory: 27163.14 KB, runs: 522
instance138.gr: cost: 244138867.00, avg_time: 96.03 ms, avg-memory: 27252.27 KB, runs: 483
instance139.gr: cost: 247804834.00, avg_time: 100.68 ms, avg-memory: 27415.00 KB, runs: 497
instance140.gr: cost: 8871.00, avg_time: 19.78 ms, avg-memory: 3442.82 KB, runs: 1000
instance141.gr: cost: 6800490.00, avg_time: 18.65 ms, avg-memory: 3549.53 KB, runs: 1000
instance142.gr: cost: 5400372.00, avg_time: 18.66 ms, avg-memory: 3640.72 KB, runs: 1000
instance143.gr: cost: 8300490.00, avg_time: 18.56 ms, avg-memory: 3670.00 KB, runs: 1000
instance144.gr: cost: 6100499.00, avg_time: 18.57 ms, avg-memory: 3678.93 KB, runs: 1000
instance145.gr: cost: 5500477.00, avg_time: 18.64 ms, avg-memory: 3674.80 KB, runs: 1000
instance146.gr: cost: 7800495.00, avg_time: 18.59 ms, avg-memory: 3675.10 KB, runs: 1000
instance147.gr: cost: 8701343.00, avg_time: 18.66 ms, avg-memory: 3789.81 KB, runs: 1000
instance148.gr: cost: 10101670.00, avg_time: 18.69 ms, avg-memory: 3805.73 KB, runs: 1000
instance149.gr: cost: 9101223.00, avg_time: 18.64 ms, avg-memory: 3807.12 KB, runs: 1000
instance150.gr: cost: 11402188.00, avg_time: 18.82 ms, avg-memory: 3929.24 KB, runs: 1000
instance151.gr: cost: 5800451.00, avg_time: 18.67 ms, avg-memory: 3549.33 KB, runs: 1000
instance152.gr: cost: 4700377.00, avg_time: 18.46 ms, avg-memory: 3650.78 KB, runs: 1000
instance153.gr: cost: 11100596.00, avg_time: 18.63 ms, avg-memory: 3806.46 KB, runs: 1000
instance154.gr: cost: 10301599.00, avg_time: 18.70 ms, avg-memory: 3811.94 KB, runs: 1000
instance155.gr: cost: 793.00, avg_time: 18.86 ms, avg-memory: 3844.48 KB, runs: 1000
instance156.gr: cost: 12501808.00, avg_time: 18.95 ms, avg-memory: 3931.85 KB, runs: 1000
instance157.gr: cost: 13101498.00, avg_time: 19.24 ms, avg-memory: 4040.85 KB, runs: 1000
instance158.gr: cost: 242694700.00, avg_time: 101.80 ms, avg-memory: 27272.61 KB, runs: 488
instance159.gr: cost: 246024864.00, avg_time: 99.55 ms, avg-memory: 27293.04 KB, runs: 445
instance160.gr: cost: 260657.00, avg_time: 107.14 ms, avg-memory: 27310.33 KB, runs: 461
instance161.gr: cost: 89574.00, avg_time: 22.38 ms, avg-memory: 5102.56 KB, runs: 1000
instance162.gr: cost: 121326.00, avg_time: 30.23 ms, avg-memory: 5529.26 KB, runs: 1000
instance163.gr: cost: 3900431.00, avg_time: 18.82 ms, avg-memory: 3678.69 KB, runs: 1000
instance164.gr: cost: 5400360.00, avg_time: 18.71 ms, avg-memory: 3668.41 KB, runs: 1000
instance165.gr: cost: 4500784.00, avg_time: 18.68 ms, avg-memory: 3680.64 KB, runs: 1000
instance166.gr: cost: 4403479.00, avg_time: 18.78 ms, avg-memory: 3678.02 KB, runs: 1000
instance167.gr: cost: 639.00, avg_time: 19.00 ms, avg-memory: 3808.35 KB, runs: 1000
instance168.gr: cost: 11801980.00, avg_time: 18.75 ms, avg-memory: 3794.06 KB, runs: 1000
instance169.gr: cost: 523.00, avg_time: 18.85 ms, avg-memory: 3805.59 KB, runs: 1000
instance170.gr: cost: 10602039.00, avg_time: 18.75 ms, avg-memory: 3925.66 KB, runs: 1000
instance171.gr: cost: 7003639.00, avg_time: 18.76 ms, avg-memory: 3929.37 KB, runs: 1000
