instance112.gr: cost: 1508.00, avg_time: 16.24 ms, avg-memory: 5357.05 KB, runs: 1000
instance113.gr: cost: 2324.00, avg_time: 28.17 ms, avg-memory: 7668.26 KB, runs: 1000
instance114.gr: cost: 16589.00, avg_time: 34.72 ms, avg-memory: 10324.50 KB, runs: 1000
instance115.gr: cost: 215.00, avg_time: 12.54 ms, avg-memory: 3437.52 KB, runs: 1000
instance116.gr: cost: 2900262.00, avg_time: 12.70 ms, avg-memory: 3549.77 KB, runs: 1000
instance117.gr: cost: 254.00, avg_time: 12.95 ms, avg-memory: 3559.73 KB, runs: 1000
instance118.gr: cost: 2900451.00, avg_time: 12.66 ms, avg-memory: 3564.60 KB, runs: 1000
instance119.gr: cost: 401.00, avg_time: 12.67 ms, avg-memory: 3560.77 KB, runs: 1000
instance120.gr: cost: 559.00, avg_time: 13.08 ms, avg-memory: 3561.22 KB, runs: 1000
instance121.gr: cost: 488.00, avg_time: 12.56 ms, avg-memory: 3564.26 KB, runs: 1000
instance122.gr: cost: 499.00, avg_time: 13.02 ms, avg-memory: 3693.36 KB, runs: 1000
instance123.gr: cost: 1148.00, avg_time: 16.04 ms, avg-memory: 4717.42 KB, runs: 1000
instance124.gr: cost: 1496.00, avg_time: 15.18 ms, avg-memory: 4970.96 KB, runs: 1000
instance125.gr: cost: 3201420.00, avg_time: 12.78 ms, avg-memory: 3565.91 KB, runs: 1000
instance126.gr: cost: 781.00, avg_time: 13.24 ms, avg-memory: 4076.54 KB, runs: 1000
instance127.gr: cost: 938.00, avg_time: 14.09 ms, avg-memory: 4464.00 KB, runs: 1000
instance128.gr: cost: 1046.00, avg_time: 14.83 ms, avg-memory: 4716.86 KB, runs: 1000
instance129.gr: cost: 1644.00, avg_time: 20.14 ms, avg-memory: 5952.79 KB, runs: 1000
instance130.gr: cost: 3101418.00, avg_time: 11.96 ms, avg-memory: 3433.60 KB, runs: 1000
instance131.gr: cost: 3200320.00, avg_time: 12.38 ms, avg-memory: 3544.93 KB, runs: 1000
instance132.gr: cost: 3400245.00, avg_time: 12.34 ms, avg-memory: 3560.63 KB, runs: 1000
instance133.gr: cost: 4386.00, avg_time: 12.38 ms, avg-memory: 3565.21 KB, runs: 1000
instance134.gr: cost: 9468.00, avg_time: 15.39 ms, avg-memory: 4716.70 KB, runs: 1000
instance135.gr: cost: 9646.00, avg_time: 21.84 ms, avg-memory: 6002.75 KB, runs: 1000
instance136.gr: cost: 3700389.00, avg_time: 12.57 ms, avg-memory: 3571.67 KB, runs: 1000
instance137.gr: cost: 3703238.00, avg_time: 12.81 ms, avg-memory: 3692.25 KB, runs: 1000
instance138.gr: cost: 819.00, avg_time: 12.91 ms, avg-memory: 3820.84 KB, runs: 1000
instance139.gr: cost: 793.00, avg_time: 12.88 ms, avg-memory: 3933.07 KB, runs: 1000
instance140.gr: cost: 1446.00, avg_time: 24.34 ms, avg-memory: 6580.62 KB, runs: 1000
instance141.gr: cost: 3500471.00, avg_time: 13.02 ms, avg-memory: 3566.77 KB, runs: 1000
instance142.gr: cost: 3800291.00, avg_time: 12.67 ms, avg-memory: 3562.97 KB, runs: 1000
